customer_id,reference_month,monthly_value,amount_paid,overdue_amount,overdue_days,late_payments,support_tickets,complaints,meetings_count,days_without_contact,account_manager_changes,nps,satisfaction_score,service_quality_score,projects_active,projects_completed,projects_delayed,delivery_on_time_pct,consultants_allocated,customer_status,churn
C00002,2024-07-01,18236.98,18236.98,0.0,0,0,0,5,0.0,16,0,94.0,9.9,8.3,6,3,3,98.9,5,Ativo,0
C00002,2024-08-01,7493.23,7493.23,0.0,0,0,5,5,5.0,27,0,58.0,7.8,8.0,8,5,3,80.4,10,Ativo,0
C00002,2024-09-01,16715.69,16715.69,0.0,0,0,6,5,0.0,26,2,46.0,9.5,6.6,1,0,0,94.0,4,Ativo,0
C00002,2024-10-01,15232.28,15232.28,0.0,0,0,7,4,4.0,42,1,40.0,8.9,8.5,4,4,0,76.2,2,Ativo,0
C00002,2024-11-01,19718.42,13541.41,2217.8,45,2,2,5,4.0,19,0,45.0,6.7,9.2,1,2,1,79.2,3,Ativo,0
C00002,2024-12-01,15337.47,15337.47,0.0,0,0,11,3,7.0,13,2,37.0,9.2,7.3,4,1,3,84.8,9,Ativo,0
C00002,2025-01-01,8628.65,6051.61,1580.55,60,2,12,3,5.0,24,2,49.0,8.2,6.7,3,6,1,85.8,3,Ativo,0
C00002,2025-02-01,18771.89,18771.89,0.0,0,0,8,1,2.0,15,1,56.0,5.7,9.6,6,3,2,90.4,7,Ativo,0
C00002,2025-03-01,13669.09,13669.09,0.0,0,0,8,0,6.0,17,1,58.0,7.7,7.1,5,4,2,94.9,8,Ativo,0
C00002,2025-04-01,10363.9,10363.9,0.0,0,0,10,1,1.0,60,1,71.0,9.5,8.7,6,4,1,97.7,10,Ativo,0
C00002,2025-05-01,13747.98,13747.98,0.0,0,0,4,0,1.0,45,2,67.0,9.9,7.5,3,3,3,79.7,2,Ativo,0
C00002,2025-06-01,21458.67,15129.68,1990.55,60,1,3,2,6.0,22,1,39.0,9.0,9.1,7,2,0,88.3,8,Ativo,0
C00002,2025-07-01,14646.55,14646.55,0.0,0,0,12,0,3.0,22,2,94.0,9.2,6.2,2,3,1,95.1,2,Ativo,0
C00002,2025-08-01,19689.22,19689.22,0.0,0,0,10,5,2.0,11,1,48.0,6.1,7.1,4,2,1,84.4,7,Ativo,0
C00002,2025-09-01,15172.54,12036.16,1746.4,45,1,0,0,8.0,2,1,63.0,9.1,6.8,5,4,0,72.2,6,Ativo,0
C00002,2025-10-01,22150.27,22150.27,0.0,0,0,5,4,6.0,25,2,92.0,6.0,7.4,5,2,3,96.4,6,Ativo,0
C00002,2025-11-01,8391.06,8391.06,0.0,0,0,0,4,6.0,31,1,81.0,8.3,6.6,3,0,2,92.5,7,Ativo,0
C00002,2025-12-01,23353.93,23353.93,0.0,0,0,9,4,1.0,6,2,49.0,8.7,9.3,6,3,3,92.2,3,Ativo,0
C00003,2024-07-01,19232.99,19232.99,0.0,0,0,5,2,3.0,35,0,32.0,8.5,7.8,6,4,1,72.7,3,Ativo,0
C00003,2024-08-01,11498.1,11498.1,0.0,0,0,9,2,6.0,30,2,95.0,6.7,9.0,1,3,0,94.9,6,Ativo,0
C00003,2024-09-01,4808.09,2079.6,2365.7,15,2,7,3,5.0,23,0,49.0,8.1,8.8,5,0,2,88.1,3,Ativo,0
C00003,2024-10-01,10459.17,10459.17,0.0,0,0,4,4,8.0,11,2,61.0,7.8,8.6,8,2,3,83.3,6,Ativo,0
C00003,2024-11-01,11343.18,11343.18,0.0,0,0,7,0,5.0,20,1,63.0,8.4,8.8,5,1,3,86.1,8,Ativo,0
C00003,2024-12-01,5240.67,2429.52,2593.49,30,1,9,2,0.0,31,1,60.0,6.8,6.5,4,2,3,84.0,1,Ativo,0
C00003,2025-01-01,17607.78,17607.78,0.0,0,0,10,2,7.0,29,0,66.0,8.3,7.1,2,6,2,90.8,8,Ativo,0
C00003,2025-02-01,5936.82,5936.82,0.0,0,0,7,4,5.0,25,1,43.0,6.5,7.1,8,2,0,81.8,6,Ativo,0
C00003,2025-03-01,22261.8,22261.8,0.0,0,0,9,5,5.0,9,0,48.0,7.9,9.9,6,4,0,95.0,10,Ativo,0
C00003,2025-04-01,20286.64,20286.64,0.0,0,0,11,4,4.0,53,1,76.0,9.7,6.4,7,3,0,74.7,9,Ativo,0
C00003,2025-05-01,20015.07,20015.07,0.0,0,0,12,1,6.0,10,0,57.0,8.8,8.6,5,3,0,79.0,8,Ativo,0
C00003,2025-06-01,5238.76,3638.96,1261.3,60,2,4,5,7.0,42,2,92.0,8.7,9.2,4,2,0,86.7,6,Ativo,0
C00003,2025-07-01,15581.92,12366.14,2984.61,30,1,5,5,6.0,2,0,89.0,5.6,8.4,7,0,0,72.3,6,Ativo,0
C00003,2025-08-01,16547.04,16547.04,0.0,0,0,12,0,7.0,47,0,79.0,7.6,9.2,5,4,0,84.7,7,Ativo,0
C00003,2025-09-01,18416.04,16090.29,616.48,45,1,6,5,2.0,7,2,76.0,8.1,9.1,7,3,3,90.3,6,Ativo,0
C00003,2025-01-10,24960.72,24960.72,0.0,0,0,3,2,5.0,45,2,82.0,5.7,6.2,3,1,1,78.1,2,Ativo,0
C00003,2025-11-01,24274.85,24274.85,0.0,0,0,1,1,0.0,4,1,54.0,5.7,7.9,5,1,3,89.1,10,Ativo,0
C00003,2025-12-01,7987.64,7987.64,0.0,0,0,5,3,6.0,28,0,64.0,7.8,6.1,1,5,0,97.4,4,Ativo,0
C00004,2024-07-01,16835.59,13536.57,2546.09,30,1,8,1,5.0,11,2,83.0,6.6,8.9,5,5,0,74.2,9,Ativo,0
C00004,2024-08-01,22007.63,22007.63,0.0,0,0,9,0,1.0,51,0,46.0,9.8,9.2,3,0,2,88.8,3,Ativo,0
C00004,2024-09-01,10089.97,10089.97,0.0,0,0,1,0,7.0,50,2,48.0,9.3,9.2,5,3,2,83.5,5,Ativo,0
C00004,2024-10-01,16841.89,16841.89,0.0,0,0,11,1,2.0,23,2,70.0,6.8,9.7,2,4,0,93.9,9,Ativo,0
C00004,2024-11-01,17646.12,17646.12,0.0,0,0,1,1,6.0,58,1,54.0,7.8,6.1,6,1,0,76.2,9,Ativo,0
C00004,2024-12-01,5205.88,5205.88,0.0,0,0,11,3,8.0,19,0,65.0,9.4,9.8,5,3,1,75.0,2,Ativo,0
C00004,2025-01-01,8742.78,8742.78,0.0,0,0,3,2,4.0,3,0,44.0,6.3,6.7,4,3,0,75.9,9,Ativo,0
C00004,2025-02-01,13597.03,13597.03,0.0,0,0,7,3,0.0,46,2,31.0,10.0,8.6,8,3,0,99.1,4,Ativo,0
C00004,2025-03-01,20060.55,15941.44,1193.93,45,1,10,3,1.0,40,1,53.0,9.8,8.0,1,2,3,86.8,5,Ativo,0
C00004,2025-04-01,5265.52,3098.09,1230.8,30,1,10,1,6.0,54,1,72.0,9.1,7.0,7,3,2,73.3,10,Ativo,0
C00004,2025-05-01,4832.92,4832.92,0.0,0,0,9,5,0.0,24,1,34.0,9.8,8.9,8,5,0,76.9,3,Ativo,0
C00004,2025-06-01,10398.45,10398.45,0.0,0,0,11,4,7.0,43,0,45.0,8.0,8.9,6,4,0,75.6,9,Ativo,0
C00004,2025-07-01,6128.43,6128.43,0.0,0,0,7,2,2.0,7,1,61.0,5.8,7.0,7,5,1,93.4,6,Ativo,0
C00004,2025-08-01,23957.21,23957.21,0.0,0,0,2,1,1.0,27,2,33.0,8.0,8.0,6,6,2,85.4,3,Ativo,0
C00004,2025-09-01,22026.47,22026.47,0.0,0,0,3,2,8.0,14,2,68.0,6.4,9.4,2,0,3,80.9,4,Ativo,0
C00004,2025-10-01,22478.57,22478.57,0.0,0,0,7,2,5.0,58,1,78.0,8.1,9.1,6,0,0,96.3,2,Ativo,0
C00004,2025-11-01,9693.68,9693.68,0.0,0,0,2,4,3.0,12,0,72.0,7.2,9.8,8,4,0,98.0,6,Ativo,0
C00004,2025-12-01,20776.57,20776.57,0.0,0,0,1,3,7.0,5,1,33.0,6.4,7.4,8,0,2,72.2,5,Ativo,0
C00005,2024-06-01,10259.11,10259.11,0.0,0,0,8,1,8.0,37,1,56.0,6.6,7.5,5,0,3,92.9,7,Ativo,0
C00005,2024-07-01,13065.11,13065.11,0.0,0,0,0,0,6.0,17,0,69.0,7.0,9.8,8,5,1,95.3,8,Ativo,0
C00005,2024-08-01,19726.69,19726.69,0.0,0,0,2,2,6.0,47,2,87.0,7.0,9.0,8,2,2,73.5,1,Ativo,0
C00005,2024-09-01,9648.28,6908.68,914.63,15,2,7,5,3.0,53,0,41.0,10.0,7.5,6,6,2,74.9,1,Ativo,0
C00005,2024-10-01,13010.31,9749.3,2360.41,45,2,4,3,6.0,53,0,43.0,6.0,7.9,8,3,2,96.4,6,Ativo,0
C00005,2024-11-01,9378.46,9378.46,0.0,0,0,5,3,2.0,32,2,88.0,6.2,7.5,4,2,2,78.1,1,Ativo,0
C00005,2024-12-01,19680.66,14570.79,1781.91,45,2,5,5,6.0,0,1,78.0,8.8,8.9,3,6,3,72.0,9,Ativo,0
C00005,2025-01-01,5908.77,4100.37,1288.32,60,1,7,3,7.0,28,2,77.0,7.6,9.0,4,4,3,74.3,4,Ativo,0
C00005,2025-02-01,13934.05,13934.05,0.0,0,0,1,5,1.0,3,1,60.0,9.9,6.5,7,1,1,89.8,1,Ativo,0
C00005,2025-03-01,11951.07,11951.07,0.0,0,0,4,1,2.0,14,0,60.0,5.7,8.0,4,2,2,81.4,7,Ativo,0
C00005,2025-04-01,20916.7,20916.7,0.0,0,0,9,2,3.0,43,0,81.0,8.3,8.6,4,2,3,86.1,7,Ativo,0
C00005,2025-05-01,10108.61,10108.61,0.0,0,0,1,1,8.0,21,0,91.0,8.7,6.2,7,6,2,77.6,9,Ativo,0
C00005,2025-06-01,10399.3,10399.3,0.0,0,0,3,0,1.0,37,2,31.0,6.7,7.4,5,1,0,79.7,8,Ativo,0
C00005,2025-07-01,12024.34,12024.34,0.0,0,0,5,2,0.0,30,2,84.0,8.0,8.6,8,4,3,70.8,3,Ativo,0
C00005,2025-08-01,3924.95,3924.95,0.0,0,0,2,0,3.0,56,0,91.0,5.7,9.6,6,4,3,98.9,4,Ativo,0
C00005,2025-09-01,23931.25,23931.25,0.0,0,0,8,3,8.0,49,1,50.0,9.6,8.1,4,6,0,77.5,3,Ativo,0
C00005,2025-10-01,20722.45,20722.45,0.0,0,0,2,4,1.0,30,2,80.0,6.9,6.5,1,1,1,92.8,9,Ativo,0
C00005,2025-11-01,15247.57,15247.57,0.0,0,0,0,2,1.0,44,0,52.0,7.9,7.2,2,1,0,74.4,3,Ativo,0
C00005,2025-12-01,19073.7,19073.7,0.0,0,0,1,5,7.0,23,1,76.0,9.8,6.3,5,4,3,88.6,2,Ativo,0
C00006,2024-01-01,8919.32,8919.32,0.0,0,0,5,5,0.0,49,0,75.0,6.3,8.7,8,2,2,75.1,1,Ativo,0
C00006,2024-02-01,8055.86,8055.86,0.0,0,0,7,4,5.0,18,2,54.0,6.4,8.3,6,4,3,74.3,4,Ativo,0
C00006,2024-03-01,18153.48,12454.65,726.89,15,1,1,2,5.0,28,2,49.0,6.5,7.6,2,2,2,85.0,2,Ativo,0
C00006,2024-04-01,16661.14,16661.14,0.0,0,0,5,0,1.0,36,1,93.0,8.2,9.4,8,5,1,70.8,3,Ativo,0
C00006,2024-05-01,10708.75,10708.75,0.0,0,0,1,4,2.0,35,2,75.0,6.1,6.9,3,4,3,95.3,5,Ativo,0
C00006,2024-06-01,15657.68,15657.68,0.0,0,0,9,2,8.0,10,2,43.0,7.0,9.9,6,2,0,72.3,4,Ativo,0
C00006,2024-07-01,20645.59,20645.59,0.0,0,0,4,4,2.0,1,1,72.0,9.2,7.8,2,6,2,97.4,5,Ativo,0
C00006,2024-08-01,15348.35,15348.35,0.0,0,0,9,3,2.0,24,0,74.0,8.2,8.1,4,5,0,75.3,10,Ativo,0
C00006,2024-09-01,23954.33,23954.33,0.0,0,0,11,3,3.0,48,2,85.0,8.7,7.8,3,6,2,78.9,5,Ativo,0
C00006,2024-10-01,7346.17,7346.17,0.0,0,0,9,3,8.0,31,0,78.0,7.1,6.4,7,6,2,76.7,9,Ativo,0
C00006,2024-11-01,22064.08,22064.08,0.0,0,0,9,4,0.0,48,0,64.0,9.7,8.6,5,1,2,84.1,7,Ativo,0
C00006,2024-12-01,24142.19,24142.19,0.0,0,0,9,2,0.0,38,0,83.0,8.6,7.9,8,3,1,78.6,3,Ativo,0
C00006,2025-01-01,11921.39,11921.39,0.0,0,0,2,2,4.0,38,0,34.0,6.5,9.1,4,0,0,91.5,5,Ativo,0
C00006,2025-02-01,23304.96,23304.96,0.0,0,0,1,5,5.0,9,1,60.0,6.0,8.8,8,1,1,81.9,2,Ativo,0
C00006,2025-03-01,8689.74,8689.74,0.0,0,0,6,4,0.0,56,0,38.0,7.8,6.5,4,1,2,88.3,5,Ativo,0
C00006,2025-04-01,12864.25,12864.25,0.0,0,0,9,4,3.0,53,2,71.0,8.3,8.7,8,6,3,93.9,2,Ativo,0
C00006,2025-05-01,24624.64,17847.89,822.67,15,1,12,1,4.0,29,2,60.0,7.3,6.0,4,1,0,87.2,1,Ativo,0
C00006,2025-06-01,12511.13,12511.13,0.0,0,0,1,5,4.0,19,0,87.0,7.8,7.0,6,2,2,89.8,1,Ativo,0
C00006,2025-07-01,18716.77,18716.77,0.0,0,0,1,3,7.0,38,0,37.0,8.8,7.8,6,6,2,98.4,4,Ativo,0
C00006,2025-08-01,16683.4,16683.4,0.0,0,0,10,4,6.0,37,0,65.0,6.9,6.8,3,6,2,75.2,8,Ativo,0
C00006,2025-09-01,15274.59,15274.59,0.0,0,0,3,1,8.0,6,0,61.0,5.6,7.9,5,2,1,88.9,4,Ativo,0
C00006,2025-10-01,4110.42,4110.42,0.0,0,0,4,0,2.0,9,1,90.0,9.7,6.1,6,1,3,74.7,4,Ativo,0
C00006,2025-11-01,8063.33,8063.33,0.0,0,0,6,0,2.0,15,0,71.0,5.9,6.1,2,2,2,79.7,8,Ativo,0
C00006,2025-12-01,4191.06,4191.06,0.0,0,0,10,5,0.0,17,0,49.0,9.5,9.3,5,2,3,79.2,2,Ativo,0
C00007,2024-05-01,11169.39,11169.39,0.0,0,0,2,2,3.0,32,0,63.0,9.0,6.3,2,6,1,94.7,6,Ativo,0
C00007,2024-06-01,22875.21,22875.21,0.0,0,0,11,5,4.0,39,1,38.0,8.3,9.5,2,2,3,95.7,6,Ativo,0
C00007,2024-07-01,10874.73,10874.73,0.0,0,0,6,1,2.0,32,2,46.0,9.9,7.6,1,6,3,73.6,7,Ativo,0
C00007,2024-08-01,5950.81,2804.47,2571.01,45,2,5,1,0.0,55,0,88.0,7.5,6.3,1,2,1,71.6,10,Ativo,0
C00007,2024-09-01,15372.29,15372.29,0.0,0,0,10,5,6.0,38,1,88.0,9.4,7.2,4,5,3,70.7,9,Ativo,0
C00007,2024-10-01,3924.72,3924.72,0.0,0,0,1,0,1.0,58,1,83.0,8.8,9.4,4,4,1,84.6,9,Ativo,0
C00007,2024-11-01,14537.79,10056.25,1716.08,30,1,6,5,1.0,24,0,44.0,7.3,8.0,6,0,2,98.0,10,Ativo,0
C00007,2024-12-01,4006.41,4006.41,0.0,0,0,10,4,6.0,21,1,50.0,7.2,6.7,1,0,3,98.5,8,Ativo,0
C00007,2025-01-01,6445.05,5709.89,105.16,15,2,4,3,2.0,40,0,88.0,6.4,7.7,1,3,1,91.8,1,Ativo,0
C00007,2025-02-01,24107.4,24107.4,0.0,0,0,9,3,8.0,48,2,77.0,6.0,7.0,5,4,1,82.3,2,Ativo,0
C00007,2025-03-01,8724.67,5883.14,1494.34,15,1,8,5,6.0,28,1,63.0,9.4,7.4,8,0,0,82.7,6,Ativo,0
C00007,2025-04-01,12484.36,8662.95,1118.17,45,1,4,1,1.0,32,0,86.0,6.4,9.7,1,5,0,74.0,9,Ativo,0
C00007,2025-05-01,21367.68,21367.68,0.0,0,0,12,1,3.0,49,1,91.0,7.7,7.0,4,0,3,84.9,9,Ativo,0
C00007,2025-06-01,13582.69,13582.69,0.0,0,0,6,0,5.0,18,2,91.0,8.5,6.1,2,1,2,89.9,3,Ativo,0
C00007,2025-07-01,23986.6,23986.6,0.0,0,0,5,2,0.0,42,0,73.0,6.8,10.0,1,5,1,87.0,8,Ativo,0
C00007,2025-08-01,11832.16,8249.32,1428.92,60,1,1,3,3.0,0,0,66.0,6.6,6.9,1,0,0,87.4,5,Ativo,0
C00007,2025-09-01,7914.84,7914.84,0.0,0,0,9,1,0.0,31,2,65.0,6.0,10.0,7,2,2,82.4,7,Ativo,0
C00007,2025-10-01,6357.29,6357.29,0.0,0,0,5,0,8.0,38,1,50.0,6.2,8.0,6,5,3,71.7,3,Ativo,0
C00007,2025-11-01,5802.68,5802.68,0.0,0,0,4,0,5.0,24,2,89.0,7.5,9.4,2,1,2,72.4,6,Ativo,0
C00007,2025-12-01,14410.46,14410.46,0.0,0,0,1,4,2.0,49,2,31.0,7.0,7.7,7,0,0,95.5,4,Ativo,0
C00008,2024-05-01,14598.5,14598.5,0.0,0,0,7,5,0.0,37,2,78.0,9.1,7.7,6,1,3,81.7,6,Ativo,0
C00008,2024-06-01,21240.81,21240.81,0.0,0,0,4,2,2.0,0,0,50.0,9.1,7.0,3,2,3,75.7,2,Ativo,0
C00008,2024-07-01,8374.96,8374.96,0.0,0,0,1,2,5.0,2,0,39.0,9.3,9.5,1,5,1,81.4,7,Ativo,0
C00008,2024-08-01,16888.57,16888.57,0.0,0,0,12,0,3.0,42,2,82.0,5.5,8.0,5,3,0,96.2,10,Ativo,0
C00008,2024-09-01,21332.87,21332.87,0.0,0,0,9,4,2.0,46,1,78.0,9.8,8.7,3,2,3,82.3,9,Ativo,0
C00008,2024-10-01,17719.78,17719.78,0.0,0,0,0,1,4.0,5,1,41.0,6.4,6.3,2,0,0,79.4,6,Ativo,0
C00008,2024-11-01,23275.86,23275.86,0.0,0,0,2,2,1.0,28,2,30.0,6.9,7.8,6,3,0,87.2,5,Ativo,0
C00008,2024-12-01,20432.47,20432.47,0.0,0,0,7,0,4.0,42,2,88.0,7.9,6.3,4,0,2,94.3,6,Ativo,0
C00008,2025-01-01,19784.4,19784.4,0.0,0,0,7,1,2.0,29,1,90.0,8.2,9.2,8,5,2,70.8,4,Ativo,0
C00008,2025-02-01,21872.73,21872.73,0.0,0,0,4,4,8.0,28,0,59.0,6.6,6.4,4,3,2,72.7,7,Ativo,0
C00008,2025-03-01,24196.38,24196.38,0.0,0,0,0,1,2.0,27,1,74.0,6.6,6.3,1,2,3,97.8,7,Ativo,0
C00008,2025-04-01,8311.59,8311.59,0.0,0,0,1,0,8.0,38,1,72.0,6.8,9.1,3,2,1,81.9,7,Ativo,0
C00008,2025-05-01,23482.46,23482.46,0.0,0,0,7,2,8.0,25,1,68.0,9.4,7.5,5,4,2,85.5,8,Ativo,0
C00008,2025-06-01,3266.58,3266.58,0.0,0,0,12,0,0.0,3,1,89.0,5.5,6.3,8,6,1,89.6,6,Ativo,0
C00008,2025-07-01,15630.68,15630.68,0.0,0,0,12,1,0.0,28,2,43.0,6.0,9.5,8,0,3,95.0,1,Ativo,0
C00008,2025-08-01,9116.7,9116.7,0.0,0,0,4,2,4.0,5,1,72.0,9.3,7.7,5,1,1,77.0,9,Ativo,0
C00008,2025-09-01,9666.84,9666.84,0.0,0,0,11,2,5.0,60,0,59.0,8.1,6.4,1,6,1,91.8,6,Ativo,0
C00008,2025-10-01,8363.67,8363.67,0.0,0,0,4,4,2.0,24,2,81.0,9.9,6.9,7,5,0,98.7,10,Ativo,0
C00008,2025-11-01,13507.7,13507.7,0.0,0,0,1,3,3.0,36,1,84.0,8.6,6.6,8,5,1,97.9,4,Ativo,0
C00008,2025-12-01,20441.16,20441.16,0.0,0,0,8,3,5.0,42,0,49.0,9.4,8.6,7,4,3,89.9,5,Ativo,0
C00009,2024-06-01,9016.55,9016.55,0.0,0,0,12,3,6.0,28,0,85.0,5.5,7.5,2,3,1,94.7,8,Ativo,0
C00009,2024-07-01,16365.55,16365.55,0.0,0,0,6,1,5.0,1,1,54.0,9.7,7.5,5,3,2,82.0,10,Ativo,0
C00009,2024-08-01,14772.52,14772.52,0.0,0,0,1,2,5.0,23,1,30.0,9.3,6.9,4,2,1,84.3,2,Ativo,0
C00009,2024-09-01,18934.57,18934.57,0.0,0,0,11,4,2.0,23,1,46.0,8.2,9.4,1,2,0,88.6,3,Ativo,0
C00009,2024-10-01,11567.46,11567.46,0.0,0,0,10,0,1.0,42,2,37.0,5.9,7.3,2,3,0,95.4,8,Ativo,0
C00009,2024-11-01,7235.58,7235.58,0.0,0,0,12,5,8.0,5,0,41.0,7.7,6.0,3,5,1,85.9,5,Ativo,0
C00009,2024-12-01,17652.21,14915.46,1188.86,15,2,11,4,6.0,30,0,55.0,8.5,6.9,1,2,2,85.9,8,Ativo,0
C00009,2025-01-01,17877.92,17877.92,0.0,0,0,10,1,6.0,54,1,70.0,8.8,6.3,3,1,0,93.2,9,Ativo,0
C00009,2025-02-01,15032.91,15032.91,0.0,0,0,6,1,1.0,33,2,80.0,9.2,6.5,7,0,1,94.9,3,Churn,1
C00010,2024-02-01,19820.7,19820.7,0.0,0,0,9,1,6.0,32,0,70.0,9.6,8.4,2,3,3,83.0,1,Ativo,0
C00010,2024-03-01,21405.23,18194.49,527.29,15,2,3,5,2.0,21,0,49.0,9.5,8.5,7,6,3,97.3,3,Ativo,0
C00010,2024-04-01,11371.75,11371.75,0.0,0,0,9,2,5.0,54,0,53.0,6.9,9.6,7,6,2,77.7,9,Ativo,0
C00010,2024-05-01,9125.26,9125.26,0.0,0,0,12,5,8.0,27,2,44.0,9.4,9.5,2,2,1,76.6,7,Ativo,0
C00010,2024-06-01,8665.09,5915.53,1854.5,15,1,7,0,5.0,20,2,74.0,8.2,8.6,1,6,3,91.0,3,Ativo,0
C00010,2024-07-01,20159.97,18089.33,1638.88,15,1,9,0,2.0,1,2,64.0,9.8,9.8,8,1,0,82.4,7,Ativo,0
C00010,2024-08-01,11695.94,11695.94,0.0,0,0,3,2,8.0,19,0,30.0,6.3,7.3,8,3,1,91.6,10,Ativo,0
C00010,2024-09-01,7302.44,7302.44,0.0,0,0,9,2,5.0,4,2,48.0,6.6,7.8,2,0,0,84.4,4,Ativo,0
C00010,2024-10-01,24728.06,24728.06,0.0,0,0,0,1,8.0,27,0,63.0,7.3,8.6,7,0,0,74.8,9,Ativo,0
C00010,2024-11-01,9416.6,9416.6,0.0,0,0,3,0,0.0,34,0,76.0,7.3,7.0,3,4,1,88.8,9,Ativo,0
C00010,2024-12-01,6064.94,6064.94,0.0,0,0,12,0,0.0,56,1,55.0,5.9,8.5,4,5,3,99.4,5,Ativo,0
C00010,2025-01-01,14984.91,14984.91,0.0,0,0,7,1,0.0,4,2,87.0,9.3,8.2,3,4,3,77.6,2,Ativo,0
C00010,2025-02-01,12610.78,12610.78,0.0,0,0,9,5,6.0,48,0,80.0,7.0,6.6,6,2,2,72.7,1,Ativo,0
C00010,2025-03-01,3403.05,3403.05,0.0,0,0,0,4,1.0,39,1,62.0,8.7,6.5,3,1,0,70.4,7,Ativo,0
C00010,2025-04-01,3236.18,3236.18,0.0,0,0,3,2,0.0,9,2,59.0,5.5,9.6,5,5,1,96.3,5,Ativo,0
C00010,2025-05-01,7344.81,7344.81,0.0,0,0,9,0,6.0,49,2,48.0,9.3,8.2,2,6,3,91.3,4,Ativo,0
C00010,2025-06-01,5727.29,5727.29,0.0,0,0,9,3,8.0,30,2,69.0,5.5,6.8,1,2,2,78.4,5,Ativo,0
C00010,2025-07-01,4414.11,4414.11,0.0,0,0,6,3,4.0,37,1,30.0,5.6,8.2,5,6,2,86.6,2,Ativo,0
C00010,2025-08-01,10242.35,10242.35,0.0,0,0,6,2,2.0,37,1,51.0,7.8,8.3,5,0,0,80.8,6,Ativo,0
C00010,2025-09-01,20998.56,20998.56,0.0,0,0,9,4,6.0,6,2,54.0,6.0,9.3,6,2,1,90.9,3,Ativo,0
C00010,2025-10-01,5929.5,3003.28,2400.23,15,1,8,1,7.0,41,1,68.0,6.6,9.7,1,5,2,84.9,7,Ativo,0
C00010,2025-11-01,6835.85,6835.85,0.0,0,0,9,2,0.0,49,0,41.0,6.0,7.3,3,6,2,79.6,7,Ativo,0
C00010,2025-12-01,21366.13,14187.72,1442.72,30,1,1,3,4.0,34,2,32.0,9.9,6.1,6,6,0,91.2,10,Ativo,0
C00011,2024-04-01,12498.86,12498.86,0.0,0,0,2,1,3.0,23,2,72.0,9.8,9.1,6,4,1,71.4,6,Ativo,0
