customer_id,company_name,industry,company_size,employees,state,city,customer_since,acquisition_channel,service_type,contract_type,payment_method
C00058,Empresa 0058,Educação,Média,838,Pe,Recife,2022-03-01,Linkedin,Dados,Mensal,Não Informado
C00059,Empresa 0059,Indústria,Pequena,181,Es,Vila Velha,2025-03-01,Site,Gestão,Mensal,Pix
C00060,Empresa 0060,Saúde,Pequena,941,Sc,Joinville,2024-02-16,Evento,Gestão,Anual,Transferência
C00061,Empresa 0061,Educação,Pequena,1114,Sc,Florianópolis,2022-06-17,Evento,Dados,Mensal,Pix
C00062,Empresa 0062,Varejo,Pequena,322,Sp,São Paulo,2023-05-22,Site,Gestão,Mensal,Boleto
C00063,Empresa 0063,Saúde,Média,353,Pe,Recife,2025-12-03,Site,Tecnologia,Mensal,Pix
C00064,Empresa 0064,Indústria,Média,822,Sc,Não Informado,2025-03-25,Indicação,Dados,Mensal,Cartão
C00065,Empresa 0065,Serviços,Grande,94,Es,Vila Velha,2022-09-05,Parceiro,Gestão,Anual,Pix
C00066,Empresa 0066,Saúde,Pequena,870,Go,Anápolis,2025-08-19,Indicação,Gestão,Anual,Transferência
C00067,Empresa 0067,Varejo,Grande,1078,Mg,Uberlândia,2024-06-10,Parceiro,Gestão,Anual,Transferência
C00068,Empresa 0068,Saúde,Pequena,187,Es,Vila Velha,2023-07-04,Linkedin,Dados,Anual,Transferência
C00069,Empresa 0069,Educação,Média,382,Rs,Caxias Do Sul,2022-02-28,Site,Tecnologia,Anual,Cartão
C00070,Empresa 0070,Indústria,Média,1148,Sc,Florianópolis,2025-05-05,Parceiro,Dados,Mensal,Boleto
C00071,Empresa 0071,Financeiro,Pequena,985,Ba,Feira De Santana,2024-09-27,Linkedin,Consultoria,Mensal,Cartão
C00072,Empresa 0072,Indústria,Pequena,637,Pr,Londrina,2024-04-08,Linkedin,Tecnologia,Não Informado,Cartão
C00073,Empresa 0073,Educação,Média,637,Rs,Caxias Do Sul,2025-12-10,Site,Consultoria,Mensal,Cartão
C00074,Empresa 0074,Serviços,Grande,389,Rj,Rio De Janeiro,2025-01-02,Site,Gestão,Anual,Cartão
C00075,Empresa 0075,Saúde,Pequena,749,Rj,Rio De Janeiro,2023-02-02,Evento,Consultoria,Mensal,Cartão
C00076,Empresa 0076,Financeiro,Média,268,Sp,Santos,2022-04-22,Linkedin,Consultoria,Mensal,Cartão
C00077,Empresa 0077,Educação,Média,387,Pe,Recife,2024-09-07,Evento,Gestão,Mensal,Pix
C00078,Empresa 0078,Tecnologia,Grande,119,Ba,Salvador,2024-10-04,Site,Tecnologia,Mensal,Boleto
C00079,Empresa 0079,Serviços,Média,472,Rj,Niterói,2025-02-16,Linkedin,Gestão,Anual,Transferência
C00080,Empresa 0080,Financeiro,Pequena,213,Sc,Florianópolis,2025-03-10,Site,Consultoria,Mensal,Boleto
C00081,Empresa 0081,Financeiro,Pequena,330,Pr,Curitiba,2022-12-22,Linkedin,Gestão,Anual,Cartão
C00082,Empresa 0082,Saúde,Grande,589,Sp,Santos,2023-04-20,Linkedin,Consultoria,Mensal,Cartão
C00083,Empresa 0083,Serviços,Pequena,880,Es,Vitória,2025-09-16,Parceiro,Dados,Mensal,Cartão
C00084,Empresa 0084,Tecnologia,Pequena,639,Mg,Uberlândia,2022-05-27,Linkedin,Consultoria,Anual,Cartão
C00085,Empresa 0085,Financeiro,Grande,1021,Ba,Feira De Santana,2023-07-12,Indicação,Consultoria,Anual,Cartão
C00086,Empresa 0086,Tecnologia,Pequena,478,Es,Vitória,2023-05-28,Evento,Consultoria,Mensal,Transferência
C00087,Empresa 0087,Educação,Média,381,Go,Anápolis,2025-08-27,Linkedin,Consultoria,Anual,Cartão
C00088,Empresa 0088,Saúde,Grande,224,Ba,Salvador,2023-11-14,Evento,Gestão,Anual,Cartão
C00089,Empresa 0089,Tecnologia,Média,190,Ba,Feira De Santana,2025-01-31,Evento,Tecnologia,Não Informado,Transferência
C00090,Empresa 0090,Indústria,Grande,956,Go,Anápolis,2022-01-03,Indicação,Dados,Anual,Transferência
C00091,Empresa 0091,Varejo,Média,1134,Pe,Recife,2022-04-16,Evento,Gestão,Anual,Pix
C00092,Empresa 0092,Financeiro,Pequena,334,Sp,Campinas,2025-07-14,Parceiro,Consultoria,Anual,Pix
C00093,Empresa 0093,Educação,Pequena,325,Pr,Londrina,2022-08-21,Evento,Tecnologia,Anual,Transferência
C00094,Empresa 0094,Educação,Grande,306,Pe,Jaboatão Dos Guararapes,2023-05-15,Site,Dados,Mensal,Pix
C00095,Empresa 0095,Serviços,Grande,557,Ba,Salvador,2023-11-28,Evento,Tecnologia,Anual,Boleto
C00096,Empresa 0096,Educação,Média,690,Pe,Jaboatão Dos Guararapes,2025-01-08,Linkedin,Tecnologia,Mensal,Boleto
C00097,Empresa 0097,Varejo,Média,99,Es,Vila Velha,2024-02-24,Linkedin,Gestão,Anual,Boleto
C00098,Empresa 0098,Varejo,Grande,689,Pe,Recife,2022-03-17,Linkedin,Consultoria,Anual,Pix
C00099,Empresa 0099,Serviços,Grande,326,Mg,Belo Horizonte,2024-04-19,Linkedin,Tecnologia,Anual,Transferência
C00100,Empresa 0100,Serviços,Grande,1102,Rj,Niterói,2023-11-04,Evento,Gestão,Mensal,Pix
C00101,Empresa 0101,Indústria,Média,475,Pr,Curitiba,2025-07-16,Linkedin,Consultoria,Mensal,Transferência
C00102,Empresa 0102,Saúde,Pequena,104,Mg,Uberlândia,2025-11-22,Indicação,Tecnologia,Anual,Cartão
C00103,Empresa 0103,Varejo,Grande,853,Ba,Salvador,2022-10-26,Site,Dados,Mensal,Transferência
C00104,Empresa 0104,Varejo,Média,303,Es,Vitória,2025-10-31,Linkedin,Tecnologia,Anual,Cartão
C00105,Empresa 0105,Saúde,Grande,1129,Sp,São Paulo,2024-08-10,Indicação,Gestão,Anual,Cartão
C00106,Empresa 0106,Saúde,Média,628,Ba,Salvador,2025-11-14,Linkedin,Gestão,Mensal,Boleto
C00107,Empresa 0107,Saúde,Grande,615,Ba,Feira De Santana,2025-03-17,Indicação,Gestão,Anual,Pix
C00108,Empresa 0108,Serviços,Grande,110,Es,Vila Velha,2025-11-05,Evento,Dados,Anual,Boleto
C00109,Empresa 0109,Saúde,Grande,290,Pr,Curitiba,2025-06-25,Indicação,Tecnologia,Anual,Pix
C00110,Empresa 0110,Indústria,Pequena,194,Es,Vila Velha,2024-01-18,Evento,Gestão,Mensal,Boleto
C00111,Empresa 0111,Saúde,Grande,1037,Mg,Uberlândia,2025-01-09,Site,Tecnologia,Anual,Cartão
C00112,Empresa 0112,Educação,Pequena,298,Rs,Porto Alegre,2022-08-24,Linkedin,Tecnologia,Mensal,Transferência
C00113,Empresa 0113,Financeiro,Pequena,941,Sp,Campinas,2023-06-26,Evento,Gestão,Anual,Pix
C00114,Empresa 0114,Tecnologia,Grande,1159,Pr,Londrina,2024-08-23,Parceiro,Dados,Mensal,Transferência
C00115,Empresa 0115,Educação,Pequena,296,Sc,Florianópolis,2025-08-22,Indicação,Tecnologia,Anual,Pix
C00116,Empresa 0116,Financeiro,Pequena,805,Rj,Niterói,2023-04-26,Evento,Gestão,Mensal,Transferência
C00117,Empresa 0117,Financeiro,Média,582,Rj,Rio De Janeiro,2024-09-29,Evento,Dados,Anual,Transferência
C00118,Empresa 0118,Tecnologia,Grande,762,Pr,Londrina,2024-01-13,Indicação,Gestão,Anual,Boleto
C00119,Empresa 0119,Tecnologia,Grande,444,Rj,Rio De Janeiro,2024-07-20,Indicação,Tecnologia,Mensal,Boleto
C00120,Empresa 0120,Tecnologia,Grande,434,Es,Vitória,2023-02-25,Site,Tecnologia,Mensal,Pix
C00121,Empresa 0121,Varejo,Grande,523,Sc,Florianópolis,2022-10-24,Indicação,Consultoria,Mensal,Pix
C00122,Empresa 0122,Financeiro,Média,42,Rs,Porto Alegre,2023-05-03,Evento,Consultoria,Mensal,Transferência
C00123,Empresa 0123,Indústria,Pequena,985,Go,Anápolis,2022-08-21,Evento,Consultoria,Anual,Boleto
C00124,Empresa 0124,Tecnologia,Grande,1077,Es,Vila Velha,2022-03-30,Linkedin,Consultoria,Mensal,Transferência
C00125,Empresa 0125,Indústria,Pequena,1014,Ba,Feira De Santana,2024-05-23,Indicação,Consultoria,Anual,Boleto
C00126,Empresa 0126,Saúde,Grande,1133,Rj,Niterói,2022-09-16,Linkedin,Tecnologia,Anual,Transferência
C00127,Empresa 0127,Tecnologia,Grande,1139,Rj,Rio De Janeiro,2025-12-08,Linkedin,Gestão,Mensal,Transferência
C00128,Empresa 0128,Educação,Média,204,Rs,Caxias Do Sul,2024-07-17,Linkedin,Tecnologia,Anual,Cartão
C00129,Empresa 0129,Educação,Pequena,196,Mg,Belo Horizonte,2025-11-07,Indicação,Gestão,Mensal,Cartão
C00130,Empresa 0130,Tecnologia,Grande,1160,Mg,Uberlândia,2025-02-13,Indicação,Gestão,Anual,Transferência
C00131,Empresa 0131,Financeiro,Média,730,Sp,São Paulo,2023-08-13,Parceiro,Dados,Mensal,Transferência
C00132,Empresa 0132,Saúde,Grande,762,Pr,Curitiba,2022-08-10,Evento,Dados,Anual,Pix
C00133,Empresa 0133,Serviços,Grande,557,Es,Vitória,2025-09-09,Site,Tecnologia,Anual,Cartão
C00134,Empresa 0134,Varejo,Pequena,1169,Rs,Caxias Do Sul,2022-01-13,Indicação,Dados,Mensal,Pix
C00135,Empresa 0135,Educação,Média,939,Go,Anápolis,2023-03-17,Site,Tecnologia,Anual,Cartão
C00136,Empresa 0136,Tecnologia,Pequena,328,Es,Vitória,2025-05-06,Parceiro,Consultoria,Mensal,Cartão
C00137,Empresa 0137,Educação,Média,915,Pe,Jaboatão Dos Guararapes,2025-09-17,Evento,Dados,Mensal,Cartão
C00138,Empresa 0138,Saúde,Grande,1006,Ba,Feira De Santana,2022-08-16,Indicação,Dados,Anual,Pix
C00139,Empresa 0139,Saúde,Pequena,291,Sp,Campinas,2023-02-23,Evento,Tecnologia,Mensal,Pix
C00140,Empresa 0140,Varejo,Pequena,788,Pe,Recife,2024-05-31,Parceiro,Tecnologia,Mensal,Transferência
C00141,Empresa 0141,Tecnologia,Média,169,Sp,Campinas,2024-06-12,Parceiro,Consultoria,Anual,Transferência
C00142,Empresa 0142,Educação,Pequena,675,Sc,Florianópolis,2022-08-24,Parceiro,Gestão,Anual,Pix
C00143,Empresa 0143,Varejo,Média,830,Ba,Salvador,2022-08-05,Linkedin,Tecnologia,Anual,Boleto
C00144,Empresa 0144,Tecnologia,Grande,243,Rs,Porto Alegre,2022-12-11,Evento,Tecnologia,Mensal,Boleto
C00145,Empresa 0145,Saúde,Pequena,365,Rj,Rio De Janeiro,2022-10-27,Indicação,Dados,Anual,Transferência
C00146,Empresa 0146,Educação,Grande,1166,Es,Vila Velha,2025-04-01,Evento,Dados,Anual,Pix
C00147,Empresa 0147,Indústria,Média,572,Pe,Recife,2024-06-24,Evento,Consultoria,Anual,Transferência
C00148,Empresa 0148,Tecnologia,Média,597,Pe,Recife,2022-03-19,Indicação,Gestão,Anual,Pix
C00149,Empresa 0149,Indústria,Pequena,668,Pe,Jaboatão Dos Guararapes,2025-03-16,Parceiro,Dados,Mensal,Transferência
C00150,Empresa 0150,Indústria,Pequena,1043,Rj,Rio De Janeiro,2023-12-05,Indicação,Dados,Anual,Transferência
C00151,Empresa 0151,Financeiro,Pequena,755,Go,Anápolis,2024-12-06,Evento,Gestão,Anual,Cartão
C00152,Empresa 0152,Serviços,Grande,695,Es,Vitória,2022-04-18,Evento,Consultoria,Anual,Cartão
C00153,Empresa 0153,Financeiro,Pequena,692,Sc,Florianópolis,2025-09-06,Parceiro,Dados,Anual,Cartão
C00154,Empresa 0154,Financeiro,Grande,183,Ba,Feira De Santana,2022-09-22,Parceiro,Gestão,Anual,Boleto
C00155,Empresa 0155,Indústria,Grande,877,Go,Anápolis,2022-07-11,Indicação,Tecnologia,Anual,Boleto
C00156,Empresa 0156,Serviços,Média,403,Pr,Curitiba,2023-12-01,Site,Dados,Mensal,Cartão
C00157,Empresa 0157,Serviços,Grande,1088,Rj,Rio De Janeiro,2024-11-05,Evento,Dados,Anual,Boleto
C00158,Empresa 0158,Serviços,Grande,349,Mg,Uberlândia,2023-01-06,Indicação,Gestão,Anual,Boleto
C00159,Empresa 0159,Saúde,Grande,929,Pe,Recife,2025-06-04,Parceiro,Dados,Anual,Transferência
C00160,Empresa 0160,Indústria,Grande,912,Pr,Londrina,2024-01-24,Evento,Gestão,Anual,Boleto
C00161,Empresa 0161,Varejo,Média,116,Pr,Londrina,2025-05-23,Evento,Consultoria,Mensal,Cartão
C00162,Empresa 0162,Saúde,Média,1061,Rj,Rio De Janeiro,2022-11-25,Linkedin,Consultoria,Mensal,Transferência
C00163,Empresa 0163,Educação,Pequena,821,Rs,Caxias Do Sul,2022-02-24,Site,Gestão,Mensal,Cartão
C00164,Empresa 0164,Saúde,Pequena,696,Pr,Curitiba,2022-02-27,Site,Consultoria,Anual,Transferência
C00165,Empresa 0165,Educação,Média,20,Mg,Belo Horizonte,2025-12-15,Indicação,Tecnologia,Mensal,Boleto
C00166,Empresa 0166,Financeiro,Média,237,Go,Anápolis,2025-05-31,Site,Tecnologia,Mensal,Pix
C00167,Empresa 0167,Indústria,Grande,946,Pr,Curitiba,2024-05-09,Indicação,Gestão,Mensal,Boleto
C00168,Empresa 0168,Educação,Pequena,732,Mg,Belo Horizonte,2023-08-20,Parceiro,Gestão,Mensal,Pix
C00169,Empresa 0169,Tecnologia,Grande,1124,Go,Goiânia,2024-01-09,Linkedin,Gestão,Mensal,Transferência
C00170,Empresa 0170,Tecnologia,Pequena,741,Rs,Porto Alegre,2023-06-04,Evento,Dados,Mensal,Cartão
C00171,Empresa 0171,Saúde,Grande,703,Mg,Belo Horizonte,2022-04-01,Linkedin,Gestão,Mensal,Boleto
C00172,Empresa 0172,Tecnologia,Média,422,Rj,Rio De Janeiro,2024-07-26,Site,Consultoria,Anual,Cartão
C00173,Empresa 0173,Serviços,Grande,979,Go,Anápolis,2024-03-26,Indicação,Dados,Anual,Cartão
C00174,Empresa 0174,Saúde,Média,264,Sp,Campinas,2025-09-04,Linkedin,Gestão,Anual,Transferência
C00175,Empresa 0175,Educação,Grande,1028,Rs,Caxias Do Sul,2023-01-18,Parceiro,Tecnologia,Mensal,Transferência
C00176,Empresa 0176,Financeiro,Pequena,1127,Rj,Niterói,2024-05-31,Evento,Consultoria,Mensal,Cartão
C00177,Empresa 0177,Educação,Grande,882,Sc,Florianópolis,2023-09-20,Linkedin,Tecnologia,Anual,Pix
C00178,Empresa 0178,Educação,Média,127,Rs,Porto Alegre,2025-06-13,Linkedin,Tecnologia,Mensal,Pix
C00179,Empresa 0179,Indústria,Média,81,Mg,Belo Horizonte,2025-05-29,Indicação,Dados,Anual,Cartão
C00180,Empresa 0180,Tecnologia,Grande,324,Ba,Feira De Santana,2025-03-07,Evento,Tecnologia,Anual,Pix
C00181,Empresa 0181,Financeiro,Média,825,Es,Vila Velha,2022-10-09,Evento,Dados,Mensal,Pix
C00182,Empresa 0182,Financeiro,Média,1160,Mg,Belo Horizonte,2024-10-19,Evento,Tecnologia,Anual,Boleto
C00183,Empresa 0183,Indústria,Média,419,Es,Vitória,2023-08-08,Site,Consultoria,Anual,Não Informado
C00184,Empresa 0184,Serviços,Grande,664,Pe,Jaboatão Dos Guararapes,2022-06-29,Indicação,Tecnologia,Anual,Boleto
C00185,Empresa 0185,Financeiro,Pequena,258,Mg,Belo Horizonte,2024-01-11,Site,Dados,Anual,Pix
C00186,Empresa 0186,Financeiro,Média,967,Rs,Porto Alegre,2025-02-08,Parceiro,Consultoria,Mensal,Cartão
C00187,Empresa 0187,Financeiro,Média,848,Ba,Salvador,2024-09-07,Site,Tecnologia,Mensal,Transferência
C00188,Empresa 0188,Financeiro,Média,272,Pe,Recife,2025-10-24,Site,Gestão,Mensal,Pix
C00189,Empresa 0189,Saúde,Pequena,341,Go,Anápolis,2022-11-10,Site,Tecnologia,Anual,Pix
C00190,Empresa 0190,Indústria,Grande,572,Sc,Florianópolis,2023-02-07,Evento,Consultoria,Mensal,Boleto
C00191,Empresa 0191,Financeiro,Grande,701,Mg,Belo Horizonte,2025-09-11,Indicação,Consultoria,Mensal,Cartão
C00192,Empresa 0192,Educação,Grande,72,Pr,Londrina,2025-03-17,Parceiro,Tecnologia,Anual,Transferência
C00193,Empresa 0193,Educação,Média,938,Pr,Curitiba,2025-11-03,Indicação,Dados,Anual,Transferência
C00194,Empresa 0194,Varejo,Média,304,Pe,Jaboatão Dos Guararapes,2024-08-09,Evento,Tecnologia,Anual,Boleto
C00195,Empresa 0195,Financeiro,Pequena,663,Rs,Não Informado,2024-11-20,Linkedin,Consultoria,Anual,Transferência
C00196,Empresa 0196,Tecnologia,Pequena,604,Pr,Londrina,2022-10-16,Parceiro,Gestão,Mensal,Boleto
C00197,Empresa 0197,Indústria,Média,398,Rs,Porto Alegre,2025-03-29,Linkedin,Gestão,Anual,Cartão
C00198,Empresa 0198,Tecnologia,Média,1045,Pe,Jaboatão Dos Guararapes,2022-02-17,Site,Dados,Anual,Pix
C00199,Empresa 0199,Educação,Grande,973,Sp,Campinas,2023-07-31,Parceiro,Consultoria,Mensal,Transferência
C00200,Empresa 0200,Indústria,Média,835,Mg,Uberlândia,2023-06-26,Indicação,Gestão,Mensal,Boleto
C00201,Empresa 0201,Saúde,Pequena,801,Rs,Caxias Do Sul,2025-02-07,Parceiro,Tecnologia,Mensal,Boleto
C00202,Empresa 0202,Saúde,Média,1152,Rj,Niterói,2024-03-17,Site,Dados,Anual,Pix
C00203,Empresa 0203,Varejo,Grande,692,Sp,Campinas,2022-03-21,Parceiro,Gestão,Mensal,Boleto
C00204,Empresa 0204,Saúde,Pequena,814,Rs,Caxias Do Sul,2025-06-09,Parceiro,Tecnologia,Anual,Cartão
C00205,Empresa 0205,Saúde,Média,234,Pe,Jaboatão Dos Guararapes,2022-02-04,Parceiro,Tecnologia,Mensal,Transferência
C00206,Empresa 0206,Serviços,Grande,1192,Sc,Florianópolis,2025-09-04,Indicação,Gestão,Mensal,Transferência
C00207,Empresa 0207,Varejo,Pequena,1182,Mg,Belo Horizonte,2025-10-26,Site,Consultoria,Anual,Cartão
C00208,Empresa 0208,Educação,Grande,427,Ba,Feira De Santana,2022-11-07,Parceiro,Gestão,Mensal,Boleto
C00209,Empresa 0209,Financeiro,Média,989,Go,Anápolis,2023-03-01,Evento,Dados,Anual,Cartão
C00210,Empresa 0210,Indústria,Grande,551,Go,Anápolis,2023-12-27,Site,Dados,Anual,Cartão
C00211,Empresa 0211,Serviços,Média,434,Pr,Londrina,2023-09-02,Evento,Gestão,Anual,Cartão
C00212,Empresa 0212,Financeiro,Grande,1122,Sc,Joinville,2022-09-07,Linkedin,Tecnologia,Mensal,Cartão
C00213,Empresa 0213,Indústria,Pequena,719,Sp,Campinas,2023-08-13,Evento,Gestão,Mensal,Boleto
C00214,Empresa 0214,Financeiro,Grande,566,Go,Goiânia,2023-07-10,Indicação,Dados,Mensal,Pix
C00215,Empresa 0215,Indústria,Pequena,117,Go,Goiânia,2023-04-08,Linkedin,Tecnologia,Anual,Pix
C00216,Empresa 0216,Financeiro,Pequena,843,Mg,Uberlândia,2022-01-11,Linkedin,Dados,Anual,Cartão
C00217,Empresa 0217,Tecnologia,Pequena,1185,Sc,Florianópolis,2025-08-15,Parceiro,Consultoria,Mensal,Transferência
C00218,Empresa 0218,Serviços,Média,1024,Mg,Belo Horizonte,2022-03-16,Evento,Consultoria,Mensal,Cartão
C00219,Empresa 0219,Tecnologia,Média,592,Es,Vila Velha,2025-05-19,Parceiro,Gestão,Mensal,Transferência
C00220,Empresa 0220,Serviços,Pequena,687,Sc,Florianópolis,2023-01-30,Linkedin,Tecnologia,Mensal,Pix
C00221,Empresa 0221,Financeiro,Grande,405,Rs,Porto Alegre,2023-08-28,Parceiro,Gestão,Anual,Cartão
C00222,Empresa 0222,Indústria,Pequena,388,Rj,Rio De Janeiro,2024-03-31,Linkedin,Tecnologia,Mensal,Pix
C00223,Empresa 0223,Varejo,Média,556,Sc,Joinville,2024-02-25,Evento,Consultoria,Anual,Cartão
C00224,Empresa 0224,Indústria,Pequena,963,Pr,Londrina,2022-05-08,Site,Gestão,Anual,Pix
C00225,Empresa 0225,Financeiro,Pequena,458,Sc,Florianópolis,2024-01-23,Linkedin,Dados,Anual,Cartão
C00226,Empresa 0226,Financeiro,Média,1110,Ba,Salvador,2025-12-08,Site,Consultoria,Anual,Cartão
C00227,Empresa 0227,Tecnologia,Pequena,1131,Rj,Rio De Janeiro,2025-03-01,Parceiro,Dados,Mensal,Cartão
